iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
154936,Fis-148591,Chaunax flammeus,LC,unknown,am,39,Maldives,3,NA,5476
154951,Fis-30231,Lethrinus genivittatus,LC,unknown,am,39,Maldives,38,NA,5476
154952,Fis-25794,Apogonichthys ocellatus,LC,unknown,am,39,Maldives,38,NA,5476
154959,Fis-32243,Bryaninops amplus,LC,unknown,am,39,Maldives,38,NA,5476
154965,Fis-55105,Acreichthys hajam,DD,NA,am,39,Maldives,38,NA,5476
154969,Fis-120470,Kuronezumia bubonis,LC,unknown,am,39,Maldives,49,NA,5476
154973,Fis-32457,Bassozetus robustus,LC,unknown,am,39,Maldives,316,NA,5476
154978,Fis-146598,Apogon indicus,LC,unknown,am,39,Maldives,38,NA,5476
154984,Fis-34769,Physiculus roseus,LC,stable,am,39,Maldives,337,NA,5476
154988,Fis-58526,Scopelosaurus herwigi,LC,unknown,am,39,Maldives,42,NA,5476
154989,Fis-30595,Sardinella longiceps,LC,decreasing,am,39,Maldives,2,NA,5476
154996,Fis-28974,Calumia godeffroyi,LC,unknown,am,39,Maldives,38,NA,5476
154997,Fis-29738,Bregmaceros atlanticus,LC,unknown,am,39,Maldives,337,NA,5476
154998,Fis-32104,Argyropelecus hemigymnus,LC,stable,am,39,Maldives,337,NA,5476
154999,Fis-29375,Etelis carbunculus,LC,unknown,am,39,Maldives,40,NA,5476
155008,Fis-32552,Myripristis seychellensis,LC,unknown,am,39,Maldives,38,NA,5476
155010,Fis-145235,Scorpaenopsis ramaraoi,LC,unknown,am,39,Maldives,38,NA,5476
155012,Fis-50053,Sternoptyx obscura,LC,unknown,am,39,Maldives,336,NA,5476
155014,Fis-22977,Alectis ciliaris,LC,unknown,am,39,Maldives,38,NA,5476
155030,Fis-22897,Macroramphosus scolopax,LC,unknown,am,39,Maldives,41,NA,5476
155042,Fis-55425,Plesiops nigricans,LC,stable,am,39,Maldives,38,NA,5476
