year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1950,39,57,Carcharhinus longimanus,Oceanic whitetip shark,600875,0.029099180492826,Carcharhinus_longimanus-57
1950,39,57,Decapoda,"Crabs, lobsters, shrimps",390013,5.31405058733158e-5,Decapoda-57
1950,39,57,Elasmobranchii,"Sharks, rays, skates",200004,0.0113761857709643,Elasmobranchii-57
1950,39,57,Isurus oxyrinchus,Shortfin mako,600752,0.00729250447373383,Isurus_oxyrinchus-57
1950,39,57,Marine fishes not identified,Marine fishes nei,100039,0.372461718728696,Marine_fishes_not_identified-57
1950,39,57,Scomberomorus commerson,Narrowbarred Spanish mackerel,600121,1.63911423373069e-4,Scomberomorus_commerson-57
1950,39,57,Scomberomorus guttatus,Indo-Pacific king mackerel,600123,0.151612368015491,Scomberomorus_guttatus-57
1951,39,51,Acanthocybium solandri,Wahoo,600089,0.00387546841959613,Acanthocybium_solandri-51
1951,39,51,Alopias,Thresher sharks,500639,0.638485277777778,Alopias-51
1951,39,51,Aphareus rutilans,Rusty jobfish,600083,68.7535776475864,Aphareus_rutilans-51
1951,39,51,Aprion virescens,Green jobfish,600084,68.7535776475864,Aprion_virescens-51
1951,39,51,Auxis rochei,Bullet tuna,600093,1165.16469426867,Auxis_rochei-51
1951,39,51,Auxis thazard,Frigate tuna,600094,1163.83197575211,Auxis_thazard-51
1951,39,51,Bregmaceros mcclellandi,Unicorn cod,608421,0.516234690399695,Bregmaceros_mcclellandi-51
1951,39,51,Caesio,Caesios,500475,152.6596875,Caesio-51
1951,39,51,Caesio caerulaurea,Blue and gold fusilier,600918,152.6596875,Caesio_caerulaurea-51
1951,39,51,Carangidae,"Jacks, pompanos",400314,241.636454980606,Carangidae-51
1951,39,51,Carangoides coeruleopinnatus,Coastal trevally,601924,103.13036647138,Carangoides_coeruleopinnatus-51
1951,39,51,Carangoides orthogrammus,Island trevally,601909,103.13036647138,Carangoides_orthogrammus-51
1951,39,51,Carangoides talamparoides,Imposter trevally,601912,98.6303664713795,Carangoides_talamparoides-51
1951,39,51,Caranx ignobilis,Giant trevally,601895,103.13036647138,Caranx_ignobilis-51
1951,39,51,Caranx lugubris,Black jack,601936,103.13036647138,Caranx_lugubris-51
1951,39,51,Caranx melampygus,Bluefin trevally,601906,107.630366471379,Caranx_melampygus-51
1951,39,51,Caranx sexfasciatus,Bigeye trevally,601917,103.13036647138,Caranx_sexfasciatus-51
1951,39,51,Carcharhinidae,Requiem sharks,400011,155.790407777778,Carcharhinidae-51
1951,39,51,Carcharhinus,Sharp-nosed sharks,500816,0.638485277777778,Carcharhinus-51
1951,39,51,Carcharhinus falciformis,Silky shark,600868,17.2391025,Carcharhinus_falciformis-51
1951,39,51,Carcharhinus longimanus,Oceanic whitetip shark,600875,0.638485277777777,Carcharhinus_longimanus-51
1951,39,51,Carcharhinus melanopterus,Blacktip reef shark,600877,51.7173075,Carcharhinus_melanopterus-51
