"rgn_id","habitat","extent_rank","layer"
1,"seagrass",2387.47,"element_wts_cp_km2_x_protection"
1,"coral",10538.4,"element_wts_cp_km2_x_protection"
1,"mangrove",1.169788,"element_wts_cp_km2_x_protection"
