rgn_id,year,a_prot_1km
1,2000,0.75
1,2001,0.75
1,2002,0.75
1,2003,0.75
1,2004,1.75
1,2005,1.75
1,2006,2
1,2007,2
1,2008,2
1,2009,2.75
1,2010,2.75
1,2011,3.25
1,2012,3.25
1,2013,3.25
1,2014,3.25
1,2015,3.25
1,2016,3.25
1,2017,3.25
1,2018,3.25
