rgn_id,year,resilience.score
1,2000,0.0217368075590359
1,2001,0.0217368075590359
1,2002,0.0217368075590359
1,2003,0.0217368075590359
1,2004,0.0225610966097297
1,2005,0.0225610966097297
1,2006,0.0248507884172124
1,2007,0.0248507884172124
1,2008,0.0248507884172124
1,2009,0.0345896109050388
1,2010,0.0345896109050388
1,2011,0.0453053685640579
1,2012,0.0456411900291554
1,2013,0.0456411900291554
1,2014,0.0456411900291554
1,2015,0.0456411900291554
1,2016,0.0456411900291554
1,2017,0.0456411900291554
1,2018,0.0456411900291554
