rgn_id,year,pressure_score
1,2000,0.924043632521314
1,2001,0.925187157104278
1,2002,0.926318444243428
1,2003,0.927437753086282
1,2004,0.928545334634734
1,2005,0.929641432082899
1,2006,0.930983903639778
1,2007,0.932309540565128
1,2008,0.933618759848796
1,2009,0.934911963176865
1,2010,0.93618953767148
1,2011,0.938027120835964
1,2012,0.939833306980826
1,2013,0.941609151008658
1,2014,0.943355655534043
1,2015,0.945073774283109
1,2016,0.947708619896073
1,2017,0.95027938763184
1,2018,0.952789120308936
1,2019,0.955240649024998
1,2020,0.957636612354549
