rgn_id,year,pressure_score
1,1993,0.00229916848790068
1,1994,0.0864153131799716
1,1995,0.0294871256879994
1,1996,0.00978641166093991
1,1997,0.096127104647023
1,1998,0.0745738008932198
1,1999,0.0474804242785633
1,2000,0.0355205956838254
1,2001,1.21203162133485e-6
1,2002,0.0518814477641701
1,2003,0.0414050055730138
1,2004,0.08330244019833
1,2005,0.012229003459121
1,2006,0.102091021239767
1,2007,0.0974081738173678
1,2008,0.167158781361093
1,2009,0.103961665341192
1,2010,0.118204787771298
1,2011,0.170380698660493
1,2012,0.236849995442046
1,2013,0.168572878138261
1,2014,0.180743664229507
1,2015,0.270239891146979
1,2016,0.27324189385213
1,2017,0.158554508302619
