rgn_id,year,a_prot_3nm
1,2000,178
1,2001,178
1,2002,178
1,2003,178
1,2004,184.75
1,2005,184.75
1,2006,203.5
1,2007,203.5
1,2008,203.5
1,2009,283.25
1,2010,283.25
1,2011,371
1,2012,373.75
1,2013,373.75
1,2014,373.75
1,2015,373.75
1,2016,373.75
1,2017,373.75
1,2018,373.75
