rgn_id,year,pressure_score
1,1958,0.00832612443760044
1,1959,0.00728120541809167
1,1960,0.0101596729527307
1,1961,0.00871042750752479
1,1962,0.0136098834996765
1,1963,0.0153870179695748
1,1964,0.0161997842132863
1,1965,0.0151069532846301
1,1966,0.014235491059044
1,1967,0.0151363797839484
1,1968,0.0176757984718864
1,1969,0.0178581692424962
1,1970,0.0187787846437213
1,1971,0.0244551194881593
1,1972,0.0242284723530626
1,1973,0.0231092052422308
1,1974,0.0417632014589437
1,1975,0.036071282278333
1,1976,0.0253701853891845
1,1977,0.0331852845070113
1,1978,0.0365138275044651
1,1979,0.029020341930798
1,1980,0.0479541452675579
1,1981,0.0342002974468407
1,1982,0.0337882945318546
1,1983,0.0502190520081896
1,1984,0.0508857926120237
1,1985,0.0473992317442509
1,1986,0.0451350743537246
1,1987,0.027976896339464902
1,1988,0.0480170547556705
1,1989,0.0562715455526628
1,1990,0.086941987408056
1,1991,0.0889804877800927
1,1992,0.0920468494546292
1,1993,0.0818079552201401
1,1994,0.0866437539630573
1,1995,0.0904790890039698
1,1996,0.0953414439724683
1,1997,0.0918193034504567
1,1998,0.0979528733676347
1,1999,0.109200837788004
1,2000,0.0946668791813799
1,2001,0.0937828134912381
1,2002,0.0903296365971724
1,2003,0.0906281534037332
1,2004,0.0946352221193829
1,2005,0.108943737448402
1,2006,0.10125383534495
1,2007,0.119103618710117
1,2008,0.119511755120135
1,2009,0.101484138859939
1,2010,0.108471710517265
1,2011,0.11376974047127
1,2012,0.120123491366391
1,2013,0.128044814238383
1,2014,0.119270127043851
1,2015,0.126215344474669
1,2016,0.124241918118904
1,2017,0.170500456564382
1,2018,0.203494845244177
1,2019,0.188784302723537
1,2020,0.189901642973175
