rgn_id,year,resilience.score
1,2000,9.60572085287235e-4
1,2001,9.60572085287235e-4
1,2002,9.60572085287235e-4
1,2003,9.60572085287235e-4
1,2004,9.85874078126409e-4
1,2005,9.85874078126409e-4
1,2006,0.00105545455843414
1,2007,0.00105545455843414
1,2008,0.00105545455843414
1,2009,0.00134371654828045
1,2010,0.00207747434061651
1,2011,0.00244164230898035
1,2012,0.00245158237759574
1,2013,0.00245158237759574
1,2014,0.00245158237759574
1,2015,0.00245158237759574
1,2016,0.00245158237759574
1,2017,0.00245158237759574
1,2018,0.00245158237759574
