rgn_id,stock_id,year,bbmsy
1,Thunnus_albacares-51,2008,0.714
1,Thunnus_albacares-51,2009,0.811
1,Thunnus_albacares-51,2010,0.996
1,Thunnus_albacares-51,2011,1.15
1,Thunnus_albacares-51,2012,0.653290909090941
1,Thunnus_albacares-51,2013,0.573627272727293
1,Thunnus_albacares-51,2014,0.493963636363674
1,Thunnus_albacares-51,2015,0.414300000000026
1,Thunnus_albacares-57,2001,1.6
1,Thunnus_albacares-57,2002,1.58
1,Thunnus_albacares-57,2003,1.6
1,Thunnus_albacares-57,2004,1.41
1,Thunnus_albacares-57,2005,1.09
1,Thunnus_albacares-57,2006,0.821
1,Thunnus_albacares-57,2007,0.672
1,Thunnus_albacares-57,2008,0.714
1,Thunnus_albacares-57,2009,0.811
1,Thunnus_albacares-57,2010,0.996
1,Thunnus_albacares-57,2011,1.15
1,Thunnus_albacares-57,2012,0.653290909090941
1,Thunnus_albacares-57,2013,0.573627272727293
1,Thunnus_albacares-57,2014,0.493963636363674
1,Thunnus_albacares-57,2015,0.414300000000026
1,Thunnus_obesus-51,2001,1.59
1,Thunnus_obesus-51,2002,1.66
1,Thunnus_obesus-51,2003,1.64
1,Thunnus_obesus-51,2004,1.71
1,Thunnus_obesus-51,2005,1.69
1,Thunnus_obesus-51,2006,1.63
1,Thunnus_obesus-51,2007,1.56
1,Thunnus_obesus-51,2008,1.46
1,Thunnus_obesus-51,2009,1.32
1,Thunnus_obesus-51,2010,1.22
1,Thunnus_obesus-51,2011,1.31
1,Thunnus_obesus-51,2012,1.26727272727275
1,Thunnus_obesus-51,2013,1.22409090909093
1,Thunnus_obesus-51,2014,1.18090909090913
1,Thunnus_obesus-51,2015,1.1377272727273
1,Thunnus_obesus-57,2001,1.59
1,Thunnus_obesus-57,2002,1.66
1,Thunnus_obesus-57,2003,1.64
1,Thunnus_obesus-57,2004,1.71
1,Thunnus_obesus-57,2005,1.69
1,Thunnus_obesus-57,2006,1.63
1,Thunnus_obesus-57,2007,1.56
1,Thunnus_obesus-57,2008,1.46
1,Thunnus_obesus-57,2009,1.32
1,Thunnus_obesus-57,2010,1.22
1,Thunnus_obesus-57,2011,1.31
1,Thunnus_obesus-57,2012,1.26727272727275
1,Thunnus_obesus-57,2013,1.22409090909093
1,Thunnus_obesus-57,2014,1.18090909090913
1,Thunnus_obesus-57,2015,1.1377272727273
1,Thunnus_tonggol-51,2001,1.60445475455858
1,Thunnus_tonggol-51,2002,1.57802470475542
1,Thunnus_tonggol-51,2003,1.54988145481071
1,Thunnus_tonggol-51,2004,1.52715111252992
1,Thunnus_tonggol-51,2005,1.51648402162061
1,Thunnus_tonggol-51,2006,1.51245145097639
1,Thunnus_tonggol-51,2007,1.50958388893511
1,Thunnus_tonggol-51,2008,1.50954900675694
1,Thunnus_tonggol-51,2009,1.4985062857696
1,Thunnus_tonggol-51,2010,1.46883520283516
1,Thunnus_tonggol-51,2011,1.41356292324527
1,Thunnus_tonggol-51,2012,1.33357278362213
1,Thunnus_tonggol-51,2013,1.23510995984689
1,Thunnus_tonggol-51,2014,1.12809719890201
1,Thunnus_tonggol-51,2015,1.02174525169654
1,Makaira_indica-51,2001,1.49
1,Makaira_indica-51,2002,1.47
1,Makaira_indica-51,2003,1.47
1,Makaira_indica-51,2004,1.44
1,Makaira_indica-51,2005,1.34
1,Makaira_indica-51,2006,1.35
1,Makaira_indica-51,2007,1.31
1,Makaira_indica-51,2008,1.3
1,Makaira_indica-51,2009,1.24
1,Makaira_indica-51,2010,1.18
1,Makaira_indica-51,2011,1.17
1,Makaira_indica-51,2012,1.13672727272727
1,Makaira_indica-51,2013,1.10254545454546
1,Makaira_indica-51,2014,1.06836363636364
1,Makaira_indica-51,2015,1.03418181818182
1,Makaira_indica-57,2001,1.49
1,Makaira_indica-57,2002,1.47
1,Makaira_indica-57,2003,1.47
1,Makaira_indica-57,2004,1.44
1,Makaira_indica-57,2005,1.34
1,Makaira_indica-57,2006,1.35
1,Makaira_indica-57,2007,1.31
1,Makaira_indica-57,2008,1.3
1,Makaira_indica-57,2009,1.24
1,Makaira_indica-57,2010,1.18
1,Makaira_indica-57,2011,1.17
