"targets","layer","filename","fld_value","units","name","description","layer_gl","path_in","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"NP","np_harvest_product_weight","np_harvest_product_weight_gl2018.csv","weight","proportion","Relative natural product harvest value","Relative importance of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) within each region determined by dividing the max USD value (determined across most recent 10 years of data) of each product and dividing by the sum of the max USD values of all products","np_harvest_product_weight","~/github/ohi-global/eez/layers/np_harvest_product_weight.csv","rgn_id",,"product","year","weight",,TRUE,2015,2015,0.0140532544378698,0.914201183431953,TRUE,,,,1,FALSE
"NP","np_harvest_tonnes","np_harvest_tonnes_gl2018.csv","tonnes","tonnes","Natural product harvest","Yield in metric tonnes of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","np_harvest_tonnes","~/github/ohi-global/eez/layers/np_harvest_tonnes.csv","rgn_id",,"product","year","tonnes",,TRUE,1980,2015,0,493.213116370713,FALSE,,,,1,FALSE
"NP","np_harvest_tonnes_relative","np_harvest_tonnes_relative_gl2018.csv","tonnes_rel","proportion","Relative natural product harvest tonnes","Tonnes of harvest of each commodity relative to maximum harvest (with 35% buffer) of the commodity within the region observed across years","np_harvest_tonnes_relative","~/github/ohi-global/eez/layers/np_harvest_tonnes_relative.csv","rgn_id",,"product","year","tonnes_rel",,TRUE,1980,2015,0,1,TRUE,,,,1,FALSE
"spatial","rgn_area","rgn_area.csv","area_km2","km2","Region areas based on EEZ boundaries","Area of Ocean Health Index regions modified from exclusive economic zones, weights used to calculate global score","rgn_area","~/github/ohi-global/eez/layers/rgn_area.csv","rgn_id",,,,"area_km2",,TRUE,,,922110,922110,FALSE,,,,1,FALSE
"spatial","rgn_global","rgn_global.csv","label","label","OHI region id","Subset of regions that are not deleted or disputed","rgn_global","~/github/ohi-global/eez/layers/rgn_global.csv","rgn_id",,,,,"label",TRUE,,,,,FALSE,,,,1,
"spatial","rgn_labels","rgn_labels.csv","label","label","Regions","Regions by type (eez, subocean, unclaimed)","rgn_labels","~/github/ohi-global/eez/layers/rgn_labels.csv","rgn_id",,"type",,,"label",TRUE,,,,,FALSE,,,,1,
"spatial","uninhabited","uninhabited_gl2018placeholder.csv","Inhabited","population","Uninhabited regions","Regions with low and no number of inhabitants (also identifies Southern Islands)","uninhabited","~/github/ohi-global/eez/layers/uninhabited.csv","rgn_id",,"rgn_nam",,"inhabited",,TRUE,,,2018,2018,FALSE,"southern_island,est_population",,,1,FALSE
"SPP","spp_status","spp_status_gl2018.csv","score","status score","Average species condition","Overall measure of species condition based on IUCN status of species within each region","spp_status","~/github/ohi-global/eez/layers/spp_status.csv","rgn_id",,,"year","score",,TRUE,2012,2018,0.821584190864518,0.826992627521891,TRUE,,,,1,FALSE
"SPP","spp_trend","spp_trend_gl2018.csv","score","trend score","Average species condition trend","Overall measure of species condition trends based on change in IUCN status of species within each region","spp_trend","~/github/ohi-global/eez/layers/spp_trend.csv","rgn_id",,,,"score",,TRUE,,,-0.00548578051759738,-0.00548578051759738,FALSE,,,,1,FALSE
"TR","tr_jobs_pct_tourism","tr_jobs_pct_tourism_gl2018.csv","Ep","proportion","Percent direct employment in tourism","Percent direct employment in tourism","tr_jobs_pct_tourism","~/github/ohi-global/eez/layers/tr_jobs_pct_tourism.csv","rgn_id",,,"year","ep",,TRUE,1995,2028,0.0840725,0.262281,TRUE,,,,1,FALSE
"TR","tr_sustainability","tr_sustainability_gl2018.csv","S_score","scaled 0-1","Tourism sustainability index","Tourism Competitiveness Index (TTCI)","tr_sustainability","~/github/ohi-global/eez/layers/tr_sustainability.csv","rgn_id",,,"year","s_score",,TRUE,2017,2017,3.48771269748827,3.48771269748827,FALSE,,,,1,FALSE
"TR","tr_travelwarnings","tr_travelwarnings_gl2018.csv","multiplier","scaled 0-1","US State Department travel warnings","US State Department travel warnings","tr_travelwarnings","~/github/ohi-global/eez/layers/tr_travelwarnings.csv","rgn_id",,,"year","multiplier",,TRUE,2015,2018,1,1,TRUE,,,,1,FALSE
"weighting","element_wts_cp_km2_x_protection","element_wts_cp_km2_x_protection_gl2018.csv","extent_rank","extent*rank_protection","Coastal protection weights","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass (empty dataframe filled by functions.R in ohi-global)","element_wts_cp_km2_x_protection","~/github/ohi-global/eez/layers/element_wts_cp_km2_x_protection.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,,,,,FALSE,,,,1,TRUE
"weighting","element_wts_cs_km2_x_storage","element_wts_cs_km2_x_storage_gl2018.csv","extent_rank","extent*carbon_storage","Carbon storage weights","Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass  (empty dataframe filled by functions.R in ohi-global)","element_wts_cs_km2_x_storage","~/github/ohi-global/eez/layers/element_wts_cs_km2_x_storage.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,,,,,FALSE,,,,1,TRUE
"weighting","element_wts_hab_pres_abs","element_wts_hab_pres_abs_gl2018.csv","boolean","0 or 1","Habitat presence/absence","List of habitats in each region (empty dataframe filled by functions.R in ohi-global)","element_wts_hab_pres_abs","~/github/ohi-global/eez/layers/element_wts_hab_pres_abs.csv","rgn_id",,"habitat",,"boolean",,TRUE,,,,,FALSE,,,,1,TRUE
"","hab_softbottom_extent","hab_softbottom_extent_gl2018.csv","km2","km2","Habitat extent of softbottom","Area of softbottom habitat","hab_softbottom_extent","~/github/ohi-global/eez/layers/hab_softbottom_extent.csv","rgn_id",,"habitat","year","km2",,TRUE,2012,2012,6541.52185175817,6541.52185175817,FALSE,,,,1,FALSE
"","sp_alien_species","sp_alien_species_gl2018.csv","resilience score","scaled 0-1","Management of nonindigenous species","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions","sp_alien_species","~/github/ohi-global/eez/layers/sp_alien_species.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.5,0.5,TRUE,,,,1,FALSE
